pkd_code,target,n_train,n_test,mae,rmse,r2,n_features_used,missing_features
46.9,46.9_Udział działalności fin. w NP,5,2,0.015027526920567528,0.01874118966547459,-0.5103547083948317,7,
46.9,46.9_Relacja CF do NP,5,2,0.15332333415704003,0.1540020373475393,-38.93012623430598,7,
46.9,46.9_GS_dyn,5,2,0.04849109889999135,0.06393880088221117,-1.5059400612657936,7,
46.9,46.9_GS_I_dyn,5,2,0.05102540883342321,0.06506435573108278,-1.3509374342693734,7,
46.9,46.9_NP_dyn,5,2,0.4108679297171669,0.4290996038463222,-17.67984293765209,7,
46.9,46.9_CF_dyn,5,2,0.3221303573013813,0.32716247020108685,-37.44005208639246,7,
46.9,46.9_EN_dyn,5,2,0.03843678444701945,0.03894540608224651,-51.97014883462616,7,
46.9,46.9_DEBT_to_GS,5,2,0.009910730720943742,0.01035676310972441,-10.865379678629928,7,
46.9,46.9_LTL_to_GS,5,2,0.0039275025387513415,0.0042730042621704056,-6.971872297752782,7,
46.9,46.9_STL_to_GS,5,2,0.009002918695803289,0.010073897003194852,-3.967163484747723,7,
46.9,46.9_STC_to_GS_I,5,2,0.008240959494082668,0.008307705104740699,-61.485101493062224,7,
46.9,46.9_LTC_to_GS_I,5,2,0.0035232927156751866,0.003707288789985086,-13.392806584567674,7,
46.9,46.9_NWC_to_GS,5,2,0.017216599685745265,0.017216776636657927,-9495.42283698477,7,
46.9,46.9_C_to_GS,5,2,0.002398598788980043,0.003108542013504743,-1.0258755940898299,7,
46.9,46.9_INV_to_GS_I,5,2,0.01899362916492653,0.01975367113680176,-17.13484492350896,7,
46.9,46.9_REC_to_GS_I,5,2,0.01031670981251781,0.010321792041244332,-1014.7289583877356,7,
46.9,46.9_REC_to_STL,5,2,0.017931190749964188,0.024730314021428643,-1.5163294474894902,7,
46.9,46.9_INV_to_STL,5,2,0.14330680385967293,0.14370366968764015,-426.6977387952604,7,
46.9,46.9_NWC_to_STL,5,2,0.13017254832987535,0.13152072852704455,-42.12568151880729,7,
46.9,46.9_CF_to_TC,5,2,0.0032264018528590996,0.0032299369864215266,0.29246491630128224,7,
46.9,46.9_OFE_to_GS,5,2,0.0015049774586017,0.001962175704621833,-0.6998703460149835,7,
46.9,46.9_OFE_to_NP,5,2,0.04179301055235247,0.05465052306350401,-1.4447376924816049,7,
46.9,46.9_PPO_to_GS_I,5,2,0.0015006557740458101,0.0015390031487571628,-19.319757701970936,7,
47.1,47.1_CF,5,2,3216.09927734375,3218.9967994530934,-17.622299082259655,6,
47.1,47.1_EN,5,2,100.05010986328125,108.70896765417976,-1889.8223876953125,6,
47.1,47.1_GS,5,2,86868.71031249998,87706.05694385772,-215.14386102098788,6,
47.1,47.1_GS_I,5,2,87434.04218749999,88278.24161082864,-248.48061018657236,6,
47.1,47.1_LTC,5,2,935.1752050781251,964.5568634751085,-45.860062423278436,6,
47.1,47.1_LTL,5,2,406.09183593750004,497.5395398988641,-2.207215827454489,6,
47.1,47.1_NP,5,2,1831.078291015625,1831.4561783205024,-3.2920420627222065,6,
47.1,47.1_PEN,5,2,129.509765625,155.00211062071057,-2.9489898681640625,6,
47.1,47.1_PNPM,5,2,87307.1603125,88150.23657365347,-246.5863202015676,6,
47.1,47.1_STC,5,2,699.29375,986.8489189294842,-5.296316838819881,6,
47.1,47.1_STL,5,2,11701.111562500002,12000.827160917117,-58.697152705239034,6,
47.1,47.1_TC,5,2,84354.889375,85270.07235951354,-143.44175223926152,6,
47.1,47.1_EN_upadlosci,5,2,9.121805191040039,10.739584265142794,-0.15338670188102688,6,
47.1,47.1_Średni CF na firmę,5,2,2.2434983674301137,2.2520678585751397,-27.03894697785284,6,
47.1,47.1_Marża CF (CF Margin),5,2,0.002684163678434246,0.003723005242976795,-0.09170744524365615,6,
47.1,47.1_Udział działalności fin. w NP,5,2,0.04124441633363277,0.05193811163217117,-6.480635627802559,6,
47.1,47.1_Relacja CF do NP,5,2,0.010377269383147869,0.011198058982107163,0.9785644335370949,6,
47.1,47.1_GS_dyn,5,2,0.044899777918057764,0.0449174984353354,0.2113417938543729,6,
