Poziom,Symbol PKD 2007,Nazwa grupowania PKD 2007,Symbol PKD 2025,Nazwa grupowania PKD 2025
2,28,"Produkcja maszyn i urządzeń, gdzie indziej niesklasyfikowana",26,"Produkcja komputerów, wyrobów elektronicznych i optycznych"
2,28,"Produkcja maszyn i urządzeń, gdzie indziej niesklasyfikowana",27,Produkcja urządzeń elektrycznych
2,28,"Produkcja maszyn i urządzeń, gdzie indziej niesklasyfikowana",28,"Produkcja maszyn i urządzeń, gdzie indziej niesklasyfikowana"
2,28,"Produkcja maszyn i urządzeń, gdzie indziej niesklasyfikowana",29,"Produkcja pojazdów silnikowych, produkcja przyczep i naczep"
2,28,"Produkcja maszyn i urządzeń, gdzie indziej niesklasyfikowana",30,Produkcja pozostałego sprzętu transportowego
3,28.1,Produkcja maszyn ogólnego przeznaczenia,28.1,Produkcja maszyn ogólnego przeznaczenia
3,28.1,Produkcja maszyn ogólnego przeznaczenia,29.3,Produkcja części i akcesoriów do pojazdów silnikowych
3,28.1,Produkcja maszyn ogólnego przeznaczenia,30.9,"Produkcja sprzętu transportowego, gdzie indziej niesklasyfikowana"
3,28.2,Produkcja pozostałych maszyn ogólnego przeznaczenia,26.2,Produkcja komputerów i urządzeń peryferyjnych
3,28.2,Produkcja pozostałych maszyn ogólnego przeznaczenia,28.2,Produkcja pozostałych maszyn ogólnego przeznaczenia
3,28.2,Produkcja pozostałych maszyn ogólnego przeznaczenia,28.9,Produkcja pozostałych maszyn specjalnego przeznaczenia
3,28.2,Produkcja pozostałych maszyn ogólnego przeznaczenia,29.3,Produkcja części i akcesoriów do pojazdów silnikowych
3,28.3,Produkcja maszyn dla rolnictwa i leśnictwa,28.3,Produkcja maszyn dla rolnictwa i leśnictwa
3,28.4,Produkcja maszyn i narzędzi mechanicznych,27.9,Produkcja pozostałego sprzętu elektrycznego
3,28.4,Produkcja maszyn i narzędzi mechanicznych,28.4,Produkcja maszyn do formowania metalu i narzędzi mechanicznych
3,28.9,Produkcja pozostałych maszyn specjalnego przeznaczenia,28.3,Produkcja maszyn dla rolnictwa i leśnictwa
3,28.9,Produkcja pozostałych maszyn specjalnego przeznaczenia,28.9,Produkcja pozostałych maszyn specjalnego przeznaczenia
2,29,"Produkcja pojazdów samochodowych, przyczep i naczep, z wyłączeniem motocykli",29,"Produkcja pojazdów silnikowych, produkcja przyczep i naczep"
3,29.1,"Produkcja pojazdów samochodowych, z wyłączeniem motocykli",29.1,"Produkcja pojazdów silnikowych, z wyłączeniem motocykli"
3,29.2,Produkcja nadwozi do pojazdów silnikowych; produkcja przyczep i naczep,29.2,"Produkcja nadwozi do pojazdów silnikowych, z wyłączeniem motocykli; produkcja przyczep i naczep"
3,29.3,Produkcja części i akcesoriów do pojazdów silnikowych,29.3,Produkcja części i akcesoriów do pojazdów silnikowych
2,30,Produkcja pozostałego sprzętu transportowego,30,Produkcja pozostałego sprzętu transportowego
2,30,Produkcja pozostałego sprzętu transportowego,33,"Naprawa, konserwacja i instalowanie maszyn i urządzeń"
3,30.1,Produkcja statków i łodzi,30.1,Produkcja statków i łodzi
3,30.2,Produkcja lokomotyw kolejowych oraz taboru szynowego,30.2,Produkcja lokomotyw kolejowych oraz taboru szynowego
3,30.3,"Produkcja statków powietrznych, statków kosmicznych i podobnych maszyn",30.3,"Produkcja statków powietrznych, statków kosmicznych i podobnych maszyn"
3,30.4,Produkcja wojskowych pojazdów bojowych,30.4,Produkcja wojskowych pojazdów bojowych
3,30.4,Produkcja wojskowych pojazdów bojowych,33.1,"Naprawa i konserwacja metalowych wyrobów gotowych, maszyn i urządzeń"
3,30.9,"Produkcja sprzętu transportowego, gdzie indziej niesklasyfikowana",30.9,"Produkcja sprzętu transportowego, gdzie indziej niesklasyfikowana"
2,31,Produkcja mebli,31,Produkcja mebli
3,31.0,Produkcja mebli,31.0,Produkcja mebli
2,32,Pozostała produkcja wyrobów,26,"Produkcja komputerów, wyrobów elektronicznych i optycznych"
2,32,Pozostała produkcja wyrobów,32,Pozostała produkcja wyrobów
3,32.1,"Produkcja wyrobów jubilerskich, biżuterii i podobnych wyrobów",32.1,"Produkcja wyrobów jubilerskich, biżuterii i podobnych wyrobów"
3,32.2,Produkcja instrumentów muzycznych,32.2,Produkcja instrumentów muzycznych
3,32.3,Produkcja sprzętu sportowego,32.3,Produkcja sprzętu sportowego
3,32.3,Produkcja sprzętu sportowego,32.9,"Produkcja wyrobów, gdzie indziej niesklasyfikowana"
3,32.4,Produkcja gier i zabawek,32.4,Produkcja gier i zabawek
